NewRecord,OldRecord,Date,Site,Block,Species,Units,FlowersPerUnit,TotalFlowers,PhotoID,AvgTallestFlower,PlotMortality,Coverage,Wind ,Temperature,Sky,VacuumTime,Notes,,,,,,,,,,
15,636,07/15/15,SWMREC,2,AMCA6,7,1,7,23-27,42,0,45,3.3,73.9,clear,8,,,,,,,,,,,
16,776,07/21/15,SWMREC,1,AMCA6,8,1,8,246-250,51,0,50,4.4,74,clear,5,very few flowers on some,,,,,,,,,,
17,783,07/21/15,SWMREC,2,AMCA6,12,1,12,NA,44.5,1,45,4.4,74,clear,5,,,,,,,,,,,
18,631,07/15/15,SWMREC,2,ASTU,27,1,27,1--2,47,1,15,3.3,73.9,clear,1,,,,,,,,,,,
19,648,07/15/15,SWMREC,4,ASTU,70,1,70,NA,46,0,25,3.3,73.9,clear,3,,,,,,,,,,,
20,663,07/15/15,SWMREC,1,ASTU,33,1,33,NA,48,0,30,3.3,73.9,clear,3,,,,,,,,,,,
21,771,07/21/15,SWMREC,1,ASTU,60,1,60,223-224,39,0,35,4.4,74,clear,3,,,,,,,,,,,
22,782,07/21/15,SWMREC,2,ASTU,48,1,48,NA,45,1,15,4.4,74,clear,2,,,,,,,,,,,
23,793,07/21/15,SWMREC,3,ASTU,55,1,55,NA,51,2,10,4.4,74,clear,2,,,,,,,,,,,
24,805,07/21/15,SWMREC,4,ASTU,89,1,89,NA,46.5,0,35,4.4,74,clear,7,,,,,,,,,,,
25,969,07/29/15,SWMREC,3,ASTU,25,1,25,NA,49,,5,,,,2,,,,,,,,,,,
26,1000,07/29/15,SWMREC,4,ASTU,46,1,46,NA,34,,20,,,,8,,,,,,,,,,,
27,1102,08/04/15,SWMREC,2,ASVE,16,14,224,111-115,61,0,35,11,78.3,partly cloudy,6,,,,,,,,,,,
28,1115,08/04/15,SWMREC,3,ASVE,14,14,196,NA,43,1,30,11,78.3,partly cloudy,8,,,,,,,,,,,
29,1458,08/12/15,SWMREC,2,ASVE,34,11.6,394.4,364-368,62,0,35,4.2,73.3,clear,5,,,,,,,,,,,
30,1472,08/12/15,SWMREC,3,ASVE,8,11.6,92.8,NA,44,0,30,4.2,73.3,clear,3,,,,,,,,,,,
31,1657,08/21/15,SWMREC,2,ASVE,26,11.6,301.6,71-75,63,0,35,5.2,78.7,partly cloudy,9,,,,,,,,,,,
32,1671,08/21/15,SWMREC,3,ASVE,40,1,40,NA,51,0,20,5.2,78.7,partly cloudy,4,counted flowers individually since so few,,,,,,,,,,
33,1687,08/21/15,SWMREC,4,ASVE,19,1,19,NA,68,1,25,5.2,78.7,partly cloudy,4,counted flowers individually since so few,,,,,,,,,,
34,313,06/24/15,SWMREC,3,CARO2,11,1,11,239-243,36,1,20,2.6,77,overcast,7,,,,,,,,,,,
35,466,07/02/15,SWMREC,3,CARO2,12,1,12,42-46,53,1,15,8.5,70,partly cloudy,11,,,,,,,,,,,
36,538,07/08/15,SWMREC,3,CARO2,13,1,13,56-60,42,1,10,5.3,65,cloudy,7,,,,,,,,,,,
37,475,07/02/15,SWMREC,4,CEAM,5,1,5,47-51,34,0,25,8.5,70,partly cloudy,2,,,,,,,,,,,
38,1089,08/04/15,SWMREC,1,CESTM,17,1,17,76-80,74,0,35,11,78.3,clear,17,,,,,,,,,,,
39,1121,08/04/15,SWMREC,3,CESTM,14,1,14,NA,59,0,30,11,78.3,partly cloudy,15,,,,,,,,,,,
40,1139,08/04/15,SWMREC,4,CESTM,20,1,20,NA,57,0,25,11,78.3,clear,,second time recorded,,,,,,,,,,
41,1153,08/04/15,SWMREC,4,CESTM,20,1,20,NA,61,0,35,11,78.3,partly cloudy,9,,,,,,,,,,,
42,1446,08/12/15,SWMREC,1,CESTM,23,1,23,330-334,66,0,60,4.2,73.3,clear,15,,,,,,,,,,,
43,1464,08/12/15,SWMREC,2,CESTM,11,1,11,NA,33,0,60,4.2,73.3,clear,12,,,,,,,,,,,
44,1473,08/12/15,SWMREC,3,CESTM,22,1,22,NA,52,0,40,4.2,73.3,clear,13,,,,,,,,,,,
45,1482,08/12/15,SWMREC,4,CESTM,14,1,14,NA,56,0,60,4.2,73.3,clear,10,,,,,,,,,,,
46,1649,08/21/15,SWMREC,1,CESTM,21,1,21,51-55,63,0,60,5.2,78.7,partly cloudy,11,,,,,,,,,,,
47,1663,08/21/15,SWMREC,2,CESTM,23,1,23,NA,53,0,70,5.2,78.7,partly cloudy,11,,,,,,,,,,,
48,1672,08/21/15,SWMREC,3,CESTM,14,1,14,NA,59,0,25,5.2,78.7,partly cloudy,9,,,,,,,,,,,
49,1680,08/21/15,SWMREC,4,CESTM,8,1,8,NA,55,0,65,5.2,78.7,partly cloudy,11,,,,,,,,,,,
50,110,06/10/15,SWMREC,2,COLA5,NA,NA,79,307-311,74,NA,NA,NA,NA,NA,14,,,,,,,,,,,
51,117,06/10/15,SWMREC,1,COLA5,NA,NA,107,372-376,74,NA,NA,NA,NA,NA,33,,,,,,,,,,,
52,124,06/10/15,SWMREC,3,COLA5,NA,NA,79,422-426,53,NA,NA,NA,NA,NA,12,,,,,,,,,,,
53,127,06/10/15,SWMREC,4,COLA5,NA,NA,44,442-446,78.5,NA,NA,NA,NA,NA,13,,,,,,,,,,,
54,203,06/17/15,SWMREC,1,COLA5,67,1,67,222-226,70.5,0,100,6.7,64.8,partly cloudy,23,,,,,,,,,,,
55,212,06/17/15,SWMREC,2,COLA5,78,1,78,272-276,71,0,100,6.7,64.8,partly cloudy,30,,,,,,,,,,,
56,219,06/17/15,SWMREC,3,COLA5,90,1,90,326-330,62,0,85,6.7,64.8,partly cloudy,26,,,,,,,,,,,
57,223,06/17/15,SWMREC,4,COLA5,56,1,56,347-351,80,0,85,6.7,64.8,partly cloudy,24,,,,,,,,,,,
58,324,06/24/15,SWMREC,1,COLA5,15,1,15,,63,0,100,2.6,77,overcast,21,camera died,,,,,,,,,,
59,325,06/24/15,SWMREC,2,COLA5,20,1,20,294-298,64.5,0,100,2.6,77,overcast,22,,,,,,,,,,,
60,326,06/24/15,SWMREC,3,COLA5,20,1,20,NA,55,0,90,2.6,77,overcast,14,pictures not needed,,,,,,,,,,
61,327,06/24/15,SWMREC,4,COLA5,33,1,33,NA,55,0,100,2.6,77,overcast,21,pictures not needed,,,,,,,,,,
62,519,07/08/15,SWMREC,1,COPA10,7,1,7,1--5,73.5,0,40,5.3,65,cloudy,6,,,,,,,,,,,
63,528,07/08/15,SWMREC,2,COPA10,25,1,25,NA,75,0,60,5.3,65,cloudy,13,,,,,,,,,,,
64,634,07/15/15,SWMREC,2,COPA10,65,1,65,13-17,76,0,45,3.3,73.9,clear,22,,,,,,,,,,,
65,645,07/15/15,SWMREC,4,COPA10,18,1,18,NA,75,0,50,3.3,73.9,clear,15,,,,,,,,,,,
66,659,07/15/15,SWMREC,1,COPA10,18,1,18,NA,74,0,40,3.3,73.9,clear,15,,,,,,,,,,,
67,766,07/21/15,SWMREC,1,COPA10,36,1,36,196-200,76,0,50,4.4,74,clear,12,,,,,,,,,,,
68,779,07/21/15,SWMREC,2,COPA10,65,1,65,NA,75,0,40,4.4,74,clear,12,,,,,,,,,,,
69,799,07/21/15,SWMREC,4,COPA10,28,1,28,NA,78,0,60,4.4,74,clear,14,,,,,,,,,,,
70,1441,08/12/15,SWMREC,1,COTR4,158,1,158,305-309,170,0,85,4.2,73.3,clear,29,,,,,,,,,,,
71,1459,08/12/15,SWMREC,2,COTR4,242,1,242,NA,186,0,100,4.2,73.3,clear,29,,,,,,,,,,,
72,1468,08/12/15,SWMREC,3,COTR4,383,1,383,NA,205,0,100,4.2,73.3,clear,50,,,,,,,,,,,
73,1485,08/12/15,SWMREC,4,COTR4,373,1,373,NA,190,0,100,4.2,73.3,clear,50,,,,,,,,,,,
74,1642,08/21/15,SWMREC,1,COTR4,255,1,255,16-20,173,0,85,5.2,78.7,partly cloudy,40,,,,,,,,,,,
75,1658,08/21/15,SWMREC,2,COTR4,349,1,349,NA,183,0,100,5.2,78.7,partly cloudy,53,,,,,,,,,,,
76,1667,08/21/15,SWMREC,3,COTR4,445,1,445,NA,210,0,95,5.2,78.7,partly cloudy,53,,,,,,,,,,,
77,1682,08/21/15,SWMREC,4,COTR4,389,1,389,NA,202,0,100,5.2,78.7,partly cloudy,50,,,,,,,,,,,
78,1786,08/26/15,SWMREC,1,COTR4,233,1,233,NA,166,0,80,7.2,65.8,partly cloudy,31,,,,,,,,,,,
79,1797,08/26/15,SWMREC,2,COTR4,415,1,415,NA,182,0,95,7.2,65.8,partly cloudy,52,,,,,,,,,,,
80,1814,08/26/15,SWMREC,4,COTR4,557,1,557,NA,195,0,100,7.2,65.8,partly cloudy,70,,,,,,,,,,,
81,1825,08/26/15,SWMREC,3,COTR4,412,1,412,NA,204,0,90,7.2,65.8,partly cloudy,48,,,,,,,,,,,
82,767,07/21/15,SWMREC,1,DAFR6,82,1,82,201-205,38,0,70,4.4,74,clear,7,,,,,,,,,,,
83,788,07/21/15,SWMREC,2,DAFR6,35,1,35,NA,46,1,60,4.4,74,clear,9,,,,,,,,,,,
84,796,07/21/15,SWMREC,3,DAFR6,27,1,27,NA,32,0,65,4.4,74,clear,7,,,,,,,,,,,
85,803,07/21/15,SWMREC,4,DAFR6,22,1,22,NA,51,0,45,4.4,74,clear,9,,,,,,,,,,,
86,934,07/29/15,SWMREC,1,DAFR6,100,1,100,NA,34,,50,,,,12,flowers partically open,,,,,,,,,,
87,961,07/29/15,SWMREC,2,DAFR6,51,1,51,NA,38,,60,,,,16,,,,,,,,,,,
88,972,07/29/15,SWMREC,3,DAFR6,61,1,61,NA,35,,60,,,,23,,,,,,,,,,,
89,998,07/29/15,SWMREC,4,DAFR6,36,1,36,NA,39,,40,,,,14,,,,,,,,,,,
90,1108,08/04/15,SWMREC,2,DAFR6,45,1,45,121-125,48,0,50,11,78.3,partly cloudy,15,,,,,,,,,,,
91,1120,08/04/15,SWMREC,3,DAFR6,51,1,51,NA,57,0,60,11,78.3,partly cloudy,19,,,,,,,,,,,
92,1141,08/04/15,SWMREC,4,DAFR6,31,1,31,NA,44,0,30,11,78.3,clear,13,,,,,,,,,,,
93,946,07/29/15,SWMREC,1,DAPU5,28,1,28,NA,72,,15,,,,19,,,,,,,,,,,
94,955,07/29/15,SWMREC,2,DAPU5,20,1,20,NA,61,,15,,,,13,,,,,,,,,,,
95,976,07/29/15,SWMREC,3,DAPU5,14,1,14,NA,69,,15,,,,19,,,,,,,,,,,
96,997,07/29/15,SWMREC,4,DAPU5,24,1,24,NA,80,,15,,,,12,,,,,,,,,,,
97,1091,08/04/15,SWMREC,1,DAPU5,27,1,27,86-90,73,0,35,11,78.3,clear,15,,,,,,,,,,,
98,1103,08/04/15,SWMREC,2,DAPU5,22,1,22,NA,88,0,35,11,78.3,partly cloudy,13,,,,,,,,,,,
99,1123,08/04/15,SWMREC,3,DAPU5,13,1,13,NA,72,0,35,11,78.3,partly cloudy,14,,,,,,,,,,,
100,1140,08/04/15,SWMREC,4,DAPU5,27,1,27,NA,88,1,15,11,78.3,clear,9,,,,,,,,,,,
101,1448,08/12/15,SWMREC,1,DAPU5,11,1,11,340-344,74,0,25,4.2,73.3,clear,16,,,,,,,,,,,
102,1457,08/12/15,SWMREC,2,DAPU5,18,1,18,NA,72,0,40,4.2,73.3,clear,10,,,,,,,,,,,
103,1477,08/12/15,SWMREC,3,DAPU5,8,1,8,NA,68,0,30,4.2,73.3,clear,11,,,,,,,,,,,
104,1481,08/12/15,SWMREC,4,DAPU5,9,1,9,NA,74,1,20,4.2,73.3,clear,6,,,,,,,,,,,
105,1090,08/04/15,SWMREC,1,ECPU,38,1,38,81-85,72,0,45,11,78.3,clear,23,,,,,,,,,,,
106,1101,08/04/15,SWMREC,2,ECPU,25,1,25,NA,63,0,45,11,78.3,clear,10,,,,,,,,,,,
107,1118,08/04/15,SWMREC,3,ECPU,11,1,11,NA,52,0,35,11,78.3,partly cloudy,22,,,,,,,,,,,
108,1154,08/04/15,SWMREC,4,ECPU,10,1,10,NA,82,0,40,11,78.3,partly cloudy,15,,,,,,,,,,,
109,1447,08/12/15,SWMREC,1,ECPU,23,1,23,335-339,72,0,60,4.2,73.3,clear,16,,,,,,,,,,,
110,1456,08/12/15,SWMREC,2,ECPU,22,1,22,NA,73,0,70,4.2,73.3,clear,19,,,,,,,,,,,
111,1471,08/12/15,SWMREC,3,ECPU,14,1,14,NA,50,0,50,4.2,73.3,clear,17,,,,,,,,,,,
112,1478,08/12/15,SWMREC,4,ECPU,14,1,14,NA,86,0,50,4.2,73.3,clear,14,,,,,,,,,,,
113,1647,08/21/15,SWMREC,1,ECPU,27,1,27,41-45,70,0,50,5.2,78.7,partly cloudy,25,,,,,,,,,,,
114,1656,08/21/15,SWMREC,2,ECPU,26,1,26,NA,74,0,50,5.2,78.7,partly cloudy,22,,,,,,,,,,,
115,1669,08/21/15,SWMREC,3,ECPU,16,1,16,NA,51,0,60,5.2,78.7,partly cloudy,18,,,,,,,,,,,
116,1677,08/21/15,SWMREC,4,ECPU,10,1,10,NA,82,0,40,5.2,78.7,partly cloudy,16,,,,,,,,,,,
117,1087,08/04/15,SWMREC,1,ERYU,64,1,64,66-70,81,0,30,11,78.3,clear,12,,,,,,,,,,,
118,1106,08/04/15,SWMREC,2,ERYU,6,1,6,NA,83,0,50,11,78.3,partly cloudy,13,,,,,,,,,,,
119,1124,08/04/15,SWMREC,3,ERYU,102,1,102,NA,119,0,60,11,78.3,partly cloudy,29,,,,,,,,,,,
120,1131,08/04/15,SWMREC,4,ERYU,33,1,33,NA,90,0,30,11,78.3,clear,17,,,,,,,,,,,
121,1443,08/12/15,SWMREC,1,ERYU,53,1,53,315-319,81,0,35,4.2,73.3,clear,11,,,,,,,,,,,
122,1465,08/12/15,SWMREC,2,ERYU,29,1,29,NA,82,0,75,4.2,73.3,clear,14,,,,,,,,,,,
123,1476,08/12/15,SWMREC,3,ERYU,62,1,62,NA,113,0,75,4.2,73.3,clear,17,,,,,,,,,,,
124,1491,08/12/15,SWMREC,4,ERYU,58,1,58,NA,96,0,70,4.2,73.3,clear,13,,,,,,,,,,,
125,1645,08/21/15,SWMREC,1,ERYU,56,1,56,31-35,72,0,45,5.2,78.7,partly cloudy,12,,,,,,,,,,,
126,1664,08/21/15,SWMREC,2,ERYU,38,1,38,NA,80,0,80,5.2,78.7,partly cloudy,13,,,,,,,,,,,
127,1674,08/21/15,SWMREC,3,ERYU,97,1,97,NA,117,0,90,5.2,78.7,partly cloudy,20,,,,,,,,,,,
128,1688,08/21/15,SWMREC,4,ERYU,97,1,97,NA,95,0,80,5.2,78.7,partly cloudy,19,,,,,,,,,,,
129,49,06/04/15,SWMREC,1,HERI,NA,NA,52,136-140,60.4,NA,NA,NA,NA,NA,9,,,,,,,,,,,
130,54,06/04/15,SWMREC,2,HERI,NA,NA,360,161-165,85.3,NA,NA,NA,NA,NA,22,,,,,,,,,,,
131,62,06/04/15,SWMREC,4,HERI,NA,NA,113,,81.2,NA,NA,NA,NA,NA,12,,,,,,,,,,,
132,73,06/04/15,SWMREC,3,HERI,NA,NA,361,181-185,113,NA,NA,NA,NA,NA,23,,,,,,,,,,,
133,113,06/10/15,SWMREC,2,HERI,NA,NA,601,342-351,88.5,NA,NA,NA,NA,NA,13,,,,,,,,,,,
134,116,06/10/15,SWMREC,1,HERI,NA,NA,47,362-371,63,NA,NA,NA,NA,NA,8,,,,,,,,,,,
135,126,06/10/15,SWMREC,3,HERI,NA,NA,492,432-441,114,NA,NA,NA,NA,NA,11,,,,,,,,,,,
137,206,06/17/15,SWMREC,1,HERI,12,1,12,227-231,75,0,20,6.7,64.8,partly cloudy,5,almost done flowering,,,,,,,,,,
138,209,06/17/15,SWMREC,2,HERI,464,1,464,252-256,79.5,0,80,6.7,64.8,partly cloudy,10,,,,,,,,,,,
139,222,06/17/15,SWMREC,4,HERI,43,1,43,341-345,70,0,20,6.7,64.8,partly cloudy,12,,,,,,,,,,,
140,228,06/17/15,SWMREC,3,HERI,96,1,96,375-379,102,0,30,6.7,64.8,partly cloudy,12,,,,,,,,,,,
141,1445,08/12/15,SWMREC,1,HEOC2,58,1,58,325-329,97,0,75,4.2,73.3,clear,27,,,,,,,,,,,
142,1463,08/12/15,SWMREC,2,HEOC2,82,1,82,NA,108,0,95,4.2,73.3,clear,23,,,,,,,,,,,
143,1469,08/12/15,SWMREC,3,HEOC2,43,1,43,NA,100,0,80,4.2,73.3,clear,24,,,,,,,,,,,
144,1486,08/12/15,SWMREC,4,HEOC2,106,1,106,NA,102,0,95,4.2,73.3,clear,27,,,,,,,,,,,
145,1650,08/21/15,SWMREC,1,HEOC2,97,1,97,56-60,97,0,95,5.2,78.7,partly cloudy,32,,,,,,,,,,,
146,1662,08/21/15,SWMREC,2,HEOC2,145,1,145,NA,107,0,95,5.2,78.7,partly cloudy,33,,,,,,,,,,,
147,1668,08/21/15,SWMREC,3,HEOC2,58,1,58,NA,100,0,100,5.2,78.7,partly cloudy,24,,,,,,,,,,,
148,1684,08/21/15,SWMREC,4,HEOC2,143,1,143,NA,101,0,100,5.2,78.7,partly cloudy,39,,,,,,,,,,,
149,1792,08/26/15,SWMREC,1,HEOC2,70,1,70,NA,97,0,80,7.2,65.8,partly cloudy,26,,,,,,,,,,,
150,1801,08/26/15,SWMREC,2,HEOC2,146,1,146,NA,111,0,90,7.2,65.8,partly cloudy,28,,,,,,,,,,,
151,1813,08/26/15,SWMREC,4,HEOC2,164,1,164,NA,111,0,95,7.2,65.8,partly cloudy,51,,,,,,,,,,,
152,1824,08/26/15,SWMREC,3,HEOC2,69,1,69,NA,92,0,90,7.2,65.8,partly cloudy,28,,,,,,,,,,,
153,1640,08/21/15,SWMREC,1,HEST,97,1,97,6--10,160,0,70,5.2,78.7,partly cloudy,40,,,,,,,,,,,
154,1653,08/21/15,SWMREC,2,HEST,37,1,37,NA,157,0,40,5.2,78.7,partly cloudy,34,,,,,,,,,,,
155,1686,08/21/15,SWMREC,4,HEST,44,1,44,NA,140,0,50,5.2,78.7,partly cloudy,32,,,,,,,,,,,
156,1689,08/21/15,SWMREC,3,HEST,48,1,48,NA,167,0,50,5.2,78.7,partly cloudy,39,,,,,,,,,,,
157,1784,08/26/15,SWMREC,1,HEST,98,1,98,NA,134,0,80,7.2,65.8,partly cloudy,60,,,,,,,,,,,
158,1795,08/26/15,SWMREC,2,HEST,55,1,55,NA,137,0,60,7.2,65.8,partly cloudy,36,,,,,,,,,,,
159,1807,08/26/15,SWMREC,3,HEST,81,1,81,NA,135,0,50,7.2,65.8,partly cloudy,54,,,,,,,,,,,
160,1808,08/26/15,SWMREC,4,HEST,76,1,76,NA,152,0,50,7.2,65.8,partly cloudy,44,,,,,,,,,,,
161,1959,09/01/15,SWMREC,1,HEST,110,1,110,NA,156,0,90,,,,39,,,,,,,,,,,
162,1968,09/01/15,SWMREC,2,HEST,45,1,45,NA,144,0,55,,,,35,,,,,,,,,,,
163,1986,09/01/15,SWMREC,4,HEST,79,1,79,NA,150,0,90,,,,33,,,,,,,,,,,
164,1990,09/01/15,SWMREC,3,HEST,83,1,83,NA,134,0,90,,,,44,,,,,,,,,,,
165,646,07/15/15,SWMREC,4,HIGR3,12,1,12,53-57,76,2,5,3.3,73.9,clear,3,,,,,,,,,,,
166,798,07/21/15,SWMREC,4,HIGR3,7,1,7,NA,76,2,10,4.4,74,clear,3,,,,,,,,,,,
167,989,07/29/15,SWMREC,4,HIGR3,11,1,11,NA,76,,5,,,,2,"Logan: ""Don't think this is HIGR3""; all flowers closed during sampling",,,,,,,,,,
168,1081,08/04/15,SWMREC,1,HYPR,21,1,21,35-39,77,0,60,11,78.3,clear,12,,,,,,,,,,,
169,1137,08/04/15,SWMREC,4,HYPR,11,1,11,NA,66,1,28,11,78.3,clear,6,,,,,,,,,,,
170,1439,08/12/15,SWMREC,1,HYPR,17,1,17,295-299,82,0,70,4.2,73.3,clear,11,,,,,,,,,,,
171,1484,08/12/15,SWMREC,4,HYPR,11,1,11,NA,55,1,50,4.2,73.3,clear,3,,,,,,,,,,,
172,1641,08/21/15,SWMREC,1,HYPR,36,1,36,11--15,80,0,65,5.2,78.7,partly cloudy,18,,,,,,,,,,,
173,1670,08/21/15,SWMREC,3,HYPR,12,1,12,NA,75,0,80,5.2,78.7,partly cloudy,6,,,,,,,,,,,
174,1683,08/21/15,SWMREC,4,HYPR,30,1,30,NA,71,1,60,5.2,78.7,partly cloudy,9,,,,,,,,,,,
175,1693,08/21/15,SWMREC,1,LECA8,51,7.2,367.2,NA,120,0,50,5.2,78.7,partly cloudy,18,,,,,,,,,,,
176,1694,08/21/15,SWMREC,2,LECA8,38,7.2,273.6,76-80,95,,,5.2,78.7,partly cloudy,9,,,,,,,,,,,
177,1695,08/21/15,SWMREC,4,LECA8,21,7.2,151.2,NA,112,0,35,5.2,78.7,partly cloudy,11,,,,,,,,,,,
178,1696,08/21/15,SWMREC,3,LECA8,50,7.2,360,NA,123,0,35,5.2,78.7,partly cloudy,15,,,,,,,,,,,
179,1783,08/26/15,SWMREC,1,LECA8,65,3.4,221,NA,100,0,35,7.2,65.8,partly cloudy,12,,,,,,,,,,,
180,1799,08/26/15,SWMREC,2,LECA8,98,3.4,333.2,NA,96,0,30,7.2,65.8,partly cloudy,13,,,,,,,,,,,
181,1806,08/26/15,SWMREC,3,LECA8,40,3.4,136,NA,124,0,40,7.2,65.8,partly cloudy,13,,,,,,,,,,,
182,1811,08/26/15,SWMREC,4,LECA8,48,3.4,163.2,NA,120,0,50,7.2,65.8,partly cloudy,13,,,,,,,,,,,
183,1705,08/21/15,SWMREC,2,LEHI2,97,8.6,834.2,81-85,91,0,30,5.2,78.7,partly cloudy,16,,,,,,,,,,,
184,1706,08/21/15,SWMREC,1,LEHI2,33,8.6,283.8,NA,68,0,30,5.2,78.7,partly cloudy,11,,,,,,,,,,,
185,1707,08/21/15,SWMREC,3,LEHI2,8,8.6,68.8,NA,41,0,20,5.2,78.7,partly cloudy,4,,,,,,,,,,,
186,1791,08/26/15,SWMREC,1,LEHI2,44,3,132,NA,60,0,25,7.2,65.8,partly cloudy,9,,,,,,,,,,,
187,1793,08/26/15,SWMREC,2,LEHI2,83,3,249,NA,81,0,50,7.2,65.8,partly cloudy,20,,,,,,,,,,,
188,1788,08/26/15,SWMREC,1,LIAS,30,1,30,NA,58,0,20,7.2,65.8,partly cloudy,14,,,,,,,,,,,
189,1818,08/26/15,SWMREC,4,LIAS,24,1,24,NA,79,0,30,7.2,65.8,partly cloudy,10,,,,,,,,,,,
190,1823,08/26/15,SWMREC,3,LIAS,52,1,52,NA,81,0,40,7.2,65.8,partly cloudy,24,,,,,,,,,,,
191,1962,09/01/15,SWMREC,1,LIAS,28,1,28,12--16,53,0,30,,,,10,,,,,,,,,,,
192,1978,09/01/15,SWMREC,3,LIAS,71,1,71,NA,76,0,40,,,,18,,,,,,,,,,,
193,1982,09/01/15,SWMREC,4,LIAS,25,1,25,NA,70,0,30,,,,16,,,,,,,,,,,
194,2117,09/09/15,SWMREC,1,LIAS,23,1,23,NA,434,0,25,,,overcast,8,,,,,,,,,,,
195,2126,09/09/15,SWMREC,3,LIAS,78,1,78,NA,73,0,40,,,overcast,20,,,,,,,,,,,
196,2129,09/09/15,SWMREC,4,LIAS,81,1,81,NA,59,0,25,,,overcast,23,,,,,,,,,,,
197,937,07/29/15,SWMREC,1,LICY,8,1,8,43-47,74,,5,,,,5,,,,,,,,,,,
198,963,07/29/15,SWMREC,2,LICY,8,1,8,NA,42,,10,,,,2,,,,,,,,,,,
199,990,07/29/15,SWMREC,4,LICY,9,1,9,NA,43,,5,,,,5,,,,,,,,,,,
200,1082,08/04/15,SWMREC,1,LICY,11,1,11,40-44,69,1,15,11,78.3,clear,6,,,,,,,,,,,
201,1126,08/04/15,SWMREC,3,LICY,5,1,5,NA,40,1,10,11,78.3,partly cloudy,5,,,,,,,,,,,
202,1440,08/12/15,SWMREC,1,LICY,9,1,9,300-304,60,1,15,4.2,73.3,clear,7,,,,,,,,,,,
203,201,06/17/15,SWMREC,1,LOCO6,247,5.2,1284.4,212-216,32.5,0,100,6.7,64.8,partly cloudy,12,,,,,,,,,,,
204,211,06/17/15,SWMREC,2,LOCO6,217,7.2,1562.4,267-271,28.5,0,100,6.7,64.8,partly cloudy,32,,,,,,,,,,,
205,215,06/17/15,SWMREC,3,LOCO6,411,5,2055,299-303,23.5,0,100,6.7,64.8,partly cloudy,20,,,,,,,,,,,
206,216,06/17/15,SWMREC,4,LOCO6,250,7.2,1800,304-308,29,1,70,6.7,64.8,partly cloudy,15,,,,,,,,,,,
207,302,06/24/15,SWMREC,1,LOCO6,47,3.6,169.2,184-188,34.5,0,95,2.6,77,overcast,15,,,,,,,,,,,
208,310,06/24/15,SWMREC,2,LOCO6,435,3.6,1566,224-228,31,0,100,2.6,77,overcast,24,,,,,,,,,,,
209,315,06/24/15,SWMREC,3,LOCO6,163,3.6,586.8,244-248,26,0,90,2.6,77,overcast,19,,,,,,,,,,,
210,318,06/24/15,SWMREC,4,LOCO6,36,3.6,129.6,259-263,19,1,80,2.6,77,overcast,8,,,,,,,,,,,
211,451,07/02/15,SWMREC,1,LOCO6,146,4,584,NA,40,0,90,10,69,clear,26,,,,,,,,,,,
212,461,07/02/15,SWMREC,2,LOCO6,397,4,1588,NA,32,0,100,8.5,70,partly cloudy,39,,,,,,,,,,,
213,465,07/02/15,SWMREC,3,LOCO6,310,4,1240,NA,33,0,100,8.5,70,partly cloudy,27,,,,,,,,,,,
214,468,07/02/15,SWMREC,4,LOCO6,231,4,924,NA,20,1,85,8.5,70,partly cloudy,19,,,,,,,,,,,
